# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.699349652507471942e-02
3.489271478251166902e-01,2.223469063615181665e-02,-5.237089117354352258e-02,7.805794672514693167e-02
-3.489271478251166902e-01,-2.223469063615181665e-02,5.237089117354352258e-02,nan
